TimeStamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
00:00:03:532,0.23,-0.17,1.01,-0.09,0,-0.02,Ban Normal
00:00:03:632,0.22,-0.18,1,-0.1,0.01,-0.01,Ban Normal
00:00:03:732,0.22,-0.17,1.01,-0.09,-0.01,-0.02,Ban Normal
00:00:03:832,0.23,-0.17,1,-0.1,0.01,-0.02,Ban Normal
00:00:03:932,0.22,-0.18,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:04:032,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:04:132,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:04:232,0.22,-0.17,1.01,-0.09,0,-0.01,Ban Normal
00:00:04:332,0.23,-0.17,1,-0.1,0,-0.02,Ban Normal
00:00:04:432,0.23,-0.18,1.01,-0.1,0.01,-0.01,Ban Normal
00:00:04:532,0.23,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:04:632,0.22,-0.17,1.01,-0.1,0.01,-0.01,Ban Normal
00:00:04:732,0.22,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:04:832,0.23,-0.17,1.01,-0.1,0.01,-0.02,Ban Normal
00:00:04:932,0.22,-0.17,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:05:032,0.22,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:05:132,0.23,-0.17,1,-0.1,0.01,-0.02,Ban Normal
00:00:05:232,0.22,-0.18,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:05:332,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:05:432,0.23,-0.17,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:05:532,0.22,-0.17,1.01,-0.09,0,-0.02,Ban Normal
00:00:05:632,0.23,-0.17,1.01,-0.09,0,-0.02,Ban Normal
00:00:05:732,0.22,-0.17,1,-0.1,0.01,-0.02,Ban Normal
00:00:05:832,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:05:932,0.23,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:06:032,0.22,-0.17,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:06:132,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:06:232,0.22,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:06:333,0.22,-0.17,1.01,-0.09,0,-0.02,Ban Normal
00:00:06:432,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:06:532,0.22,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:06:632,0.22,-0.17,1.02,-0.09,0,-0.02,Ban Normal
00:00:06:732,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:06:833,0.22,-0.18,1,-0.1,-0.01,-0.02,Ban Normal
00:00:06:932,0.22,-0.17,1.01,-0.09,-0.01,-0.02,Ban Normal
00:00:07:032,0.22,-0.18,1,-0.1,0.01,-0.01,Ban Normal
00:00:07:132,0.24,-0.17,0.99,-0.1,-0.02,-0.02,Ban Normal
00:00:07:232,0.23,-0.15,0.99,-0.09,0.02,-0.02,Ban Normal
00:00:07:332,0.22,-0.18,1,-0.1,0.01,-0.01,Ban Normal
00:00:07:432,0.22,-0.18,1.01,-0.09,0.02,-0.02,Ban Normal
00:00:07:532,0.23,-0.17,1,-0.09,-0.01,-0.02,Ban Normal
00:00:07:632,0.22,-0.17,1.01,-0.09,-0.01,-0.01,Ban Normal
00:00:07:732,0.23,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:07:832,0.22,-0.17,1.01,-0.1,0.02,-0.01,Ban Normal
00:00:07:932,0.21,-0.18,1.01,-0.09,0,-0.02,Ban Normal
00:00:08:032,0.23,-0.17,1.02,-0.1,0,-0.02,Ban Normal
00:00:08:132,0.22,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:08:232,0.22,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:08:332,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:08:432,0.22,-0.17,1.01,-0.1,0.01,-0.02,Ban Normal
00:00:08:532,0.22,-0.18,1.01,-0.09,0,-0.02,Ban Normal
00:00:08:632,0.23,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:08:732,0.22,-0.17,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:08:832,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:08:932,0.23,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:09:032,0.22,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:09:132,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:09:232,0.22,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:09:332,0.21,-0.19,1,-0.09,-0.01,-0.01,Ban Normal
00:00:09:432,0.23,-0.17,0.99,-0.09,0.01,-0.02,Ban Normal
00:00:09:532,0.22,-0.18,1,-0.1,0.01,-0.02,Ban Normal
00:00:09:632,0.23,-0.17,1.02,-0.09,0,-0.02,Ban Normal
00:00:09:732,0.22,-0.17,1.01,-0.09,0,-0.02,Ban Normal
00:00:09:832,0.22,-0.17,1.02,-0.09,0,-0.02,Ban Normal
00:00:09:932,0.22,-0.17,1.01,-0.1,0.01,-0.02,Ban Normal
00:00:10:032,0.22,-0.18,1.01,-0.09,0,-0.02,Ban Normal
00:00:10:132,0.23,-0.17,1.01,-0.1,0,-0.02,Ban Normal
00:00:10:232,0.23,-0.18,1.05,-0.09,0.01,-0.02,Ban Normal
00:00:10:332,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:10:432,0.22,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:10:532,0.22,-0.17,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:10:633,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:10:732,0.22,-0.17,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:10:833,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:10:932,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:11:032,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:11:132,0.22,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:11:232,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:11:332,0.22,-0.17,1,-0.1,0,-0.02,Ban Normal
00:00:11:432,0.22,-0.17,1,-0.1,0.01,-0.02,Ban Normal
00:00:11:532,0.22,-0.18,1.01,-0.09,0,-0.02,Ban Normal
00:00:11:632,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:11:732,0.22,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:11:832,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:11:932,0.23,-0.17,1,-0.1,0.01,-0.02,Ban Normal
00:00:12:032,0.22,-0.18,1.01,-0.1,0.01,-0.02,Ban Normal
00:00:12:132,0.23,-0.17,1.01,-0.09,0,-0.02,Ban Normal
00:00:12:232,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:12:332,0.22,-0.18,1.01,-0.1,0,-0.02,Ban Normal
00:00:12:432,0.23,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:12:532,0.23,-0.17,1,-0.1,0.01,-0.02,Ban Normal
00:00:12:632,0.22,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:12:732,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:12:832,0.22,-0.18,1.01,-0.1,0.01,-0.02,Ban Normal
00:00:12:932,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:13:032,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:13:132,0.22,-0.17,1.02,-0.09,0,-0.02,Ban Normal
00:00:13:232,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:13:332,0.23,-0.18,0.99,-0.1,0,-0.02,Ban Normal
00:00:13:432,0.23,-0.15,0.98,-0.09,0.01,-0.01,Ban Normal
00:00:13:532,0.23,-0.17,0.99,-0.09,0,-0.02,Ban Normal
00:00:13:632,0.22,-0.17,1.01,-0.1,0.01,-0.02,Ban Normal
00:00:13:732,0.22,-0.17,1.01,-0.09,0.01,-0.01,Ban Normal
00:00:13:832,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:13:932,0.22,-0.17,1,-0.09,0.01,-0.02,Ban Normal
00:00:14:032,0.22,-0.18,0.98,-0.09,0.02,-0.02,Ban Normal
00:00:14:132,0.23,-0.17,0.99,-0.1,-0.01,-0.02,Ban Normal
00:00:14:232,0.22,-0.17,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:14:332,0.22,-0.18,1.01,-0.1,0.02,-0.02,Ban Normal
00:00:14:432,0.22,-0.17,1,-0.09,0.03,-0.02,Ban Normal
00:00:14:532,0.22,-0.18,1,-0.09,0.01,-0.01,Ban Normal
00:00:14:632,0.23,-0.16,1,-0.09,-0.01,-0.02,Ban Normal
00:00:14:732,0.22,-0.18,1,-0.09,0.02,-0.02,Ban Normal
00:00:14:832,0.21,-0.17,1.01,-0.09,0.01,-0.01,Ban Normal
00:00:14:932,0.22,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:15:032,0.22,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:15:132,0.23,-0.16,1.01,-0.09,0.02,-0.01,Ban Normal
00:00:15:232,0.2,-0.18,1.01,-0.11,0.01,-0.01,Ban Normal
00:00:15:332,0.22,-0.17,1.01,-0.09,-0.02,-0.03,Ban Normal
00:00:15:432,0.24,-0.17,0.99,-0.1,-0.01,-0.02,Ban Normal
00:00:15:532,0.22,-0.17,1,-0.1,0.02,-0.01,Ban Normal
00:00:15:632,0.21,-0.18,1.01,-0.09,0,-0.02,Ban Normal
00:00:15:730,0.22,-0.17,1.01,-0.1,-0.01,-0.02,Ban Normal
00:00:15:832,0.24,-0.17,0.99,-0.1,-0.01,-0.02,Ban Normal
00:00:15:932,0.47,-0.3,0.95,-0.56,-0.18,0.28,Ban Normal
00:00:16:032,0.21,-0.19,1.03,-0.08,-0.03,-0.01,Ban Normal
00:00:16:132,0.23,-0.18,1,-0.1,0,-0.02,Ban Normal
00:00:16:232,0.23,-0.18,1,-0.1,0.01,-0.02,Ban Normal
00:00:16:332,0.22,-0.19,1,-0.09,0,-0.02,Ban Normal
00:00:16:432,0.23,-0.19,1,-0.09,0,-0.02,Ban Normal
00:00:16:532,0.22,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:16:632,0.22,-0.19,1,-0.09,0,-0.02,Ban Normal
00:00:16:732,0.23,-0.19,1,-0.09,0.01,-0.02,Ban Normal
00:00:16:832,0.23,-0.19,0.99,-0.09,0,-0.01,Ban Normal
00:00:16:932,0.22,-0.18,1.01,-0.09,0,-0.02,Ban Normal
00:00:17:032,0.23,-0.19,1,-0.09,0.01,-0.02,Ban Normal
00:00:17:132,0.22,-0.19,1,-0.1,0,-0.02,Ban Normal
00:00:17:232,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:17:332,0.22,-0.19,1.01,-0.1,0.01,-0.02,Ban Normal
00:00:17:432,0.23,-0.19,1,-0.09,0,-0.02,Ban Normal
00:00:17:532,0.23,-0.18,1,-0.1,0.01,-0.02,Ban Normal
00:00:17:632,0.22,-0.19,1.01,-0.09,0,-0.02,Ban Normal
00:00:17:732,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:17:832,0.23,-0.19,1,-0.1,0.01,-0.02,Ban Normal
00:00:17:932,0.22,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:18:032,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:18:132,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:18:232,0.22,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:18:332,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:18:432,0.22,-0.19,1,-0.09,0.01,-0.02,Ban Normal
00:00:18:532,0.23,-0.19,1,-0.09,0,-0.02,Ban Normal
00:00:18:632,0.23,-0.18,1,-0.1,0.01,-0.02,Ban Normal
00:00:18:732,0.23,-0.18,1,-0.1,0.01,-0.02,Ban Normal
00:00:18:832,0.23,-0.19,1,-0.09,0,-0.02,Ban Normal
00:00:18:932,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:19:032,0.22,-0.19,1,-0.09,0,-0.02,Ban Normal
00:00:19:132,0.23,-0.19,1,-0.09,0,-0.02,Ban Normal
00:00:19:232,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:19:332,0.23,-0.19,1.01,-0.09,0,-0.02,Ban Normal
00:00:19:432,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:19:532,0.23,-0.19,1,-0.09,0.01,-0.02,Ban Normal
00:00:19:632,0.23,-0.19,1,-0.09,0,-0.02,Ban Normal
00:00:19:732,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:19:832,0.22,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:19:932,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:20:032,0.23,-0.18,1.01,-0.09,0,-0.02,Ban Normal
00:00:20:132,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:20:232,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:20:332,0.22,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:20:432,0.22,-0.18,1,-0.1,0,-0.02,Ban Normal
00:00:20:532,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:20:632,0.23,-0.19,1.01,-0.09,0,-0.02,Ban Normal
00:00:20:732,0.23,-0.18,0.99,-0.09,0.01,-0.02,Ban Normal
00:00:20:832,0.22,-0.18,1,-0.1,0.01,-0.02,Ban Normal
00:00:20:932,0.22,-0.19,0.99,-0.09,0,-0.01,Ban Normal
00:00:21:032,0.23,-0.18,1,-0.1,0,-0.02,Ban Normal
00:00:21:132,0.23,-0.19,0.99,-0.09,0,-0.02,Ban Normal
00:00:21:232,0.23,-0.18,1,-0.1,0,-0.02,Ban Normal
00:00:21:332,0.22,-0.19,1.01,-0.1,0.01,-0.02,Ban Normal
00:00:21:432,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:21:532,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:21:632,0.22,-0.19,1,-0.09,0,-0.02,Ban Normal
00:00:21:732,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:21:832,0.23,-0.18,1,-0.1,0.01,-0.02,Ban Normal
00:00:21:932,0.22,-0.19,1,-0.09,0,-0.02,Ban Normal
00:00:22:032,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:22:132,0.23,-0.18,1,-0.1,0.01,-0.02,Ban Normal
00:00:22:232,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:22:332,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:22:432,0.22,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:22:532,0.23,-0.18,1,-0.09,0,-0.01,Ban Normal
00:00:22:632,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:22:732,0.22,-0.18,1,-0.1,0.01,-0.01,Ban Normal
00:00:22:832,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:22:932,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:23:032,0.22,-0.18,1.01,-0.09,0.01,-0.02,Ban Normal
00:00:23:132,0.22,-0.18,1.01,-0.09,0,-0.02,Ban Normal
00:00:23:232,0.23,-0.17,1,-0.09,0,-0.02,Ban Normal
00:00:23:332,0.23,-0.18,1,-0.09,0.01,-0.01,Ban Normal
00:00:23:432,0.22,-0.19,1.01,-0.09,0,-0.02,Ban Normal
00:00:23:532,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:23:632,0.23,-0.19,1,-0.1,0.01,-0.02,Ban Normal
00:00:23:732,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:23:832,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:23:932,0.23,-0.18,1,-0.1,0.01,-0.02,Ban Normal
00:00:24:032,0.22,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:24:132,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:24:232,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:24:332,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:24:432,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:24:532,0.22,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:24:632,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:24:732,0.23,-0.18,1,-0.1,0.01,-0.02,Ban Normal
00:00:24:832,0.22,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:24:932,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:25:032,0.23,-0.19,1,-0.09,0.01,-0.02,Ban Normal
00:00:25:132,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:25:232,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:25:332,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:25:432,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:25:532,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:25:632,0.22,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:25:732,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
00:00:25:832,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:25:932,0.23,-0.18,1,-0.09,0.01,-0.02,Ban Normal
00:00:26:032,0.23,-0.18,1,-0.09,0,-0.02,Ban Normal
